file,accuracy,leven,leven_per_char,precision,recall,fscore
CNN,0.990800312945833,0.235213366802636,0.007006091933826,0.985162645486485,0.989683316261377,0.987402687121947
CNN 2,0.99067145289705,0.238468779416379,0.007140070088086,0.985456334083345,0.989659720913681,0.987540055325958
CNN L,0.991002807308206,0.229957640414183,0.006835133795103,0.979295963683789,0.989858450789443,0.984501045433774
CNN L2,0.990309417521898,0.247725133354252,0.00736658261307,0.949276391554071,0.989618954509978,0.968512635714192
CNN P,0.993026216883734,0.178263256981487,0.005384804265573,0.990136746248941,0.990619312422957,0.990377665863072
CNN N,0.990680835115142,0.237880451835582,0.007164737723987,0.986712500434478,0.988405225889314,0.987556390572467
CNN N2,0.991078669910787,0.227800439284594,0.00692722974786,0.987479148690503,0.988190158902064,0.987834525468584
CNN L N,0.991522585956893,0.216386884217132,0.006542384554951,0.988208767593898,0.988507262498306,0.988357650296227
CNN L N 2,0.990683907198506,0.237880451835582,0.007165805429612,0.98611761623114,0.988904508136401,0.987504007999901
LSTM ,0.740601653703959,6.63217759648572,0.213867239071147,0.184189161142243,0.5,0.269207949501483
